Datetime,Open,High,Low,Close,Volume
20-02-2013 09:15,12460.4,12470.7,12351.7,12363.7,10675000
21-02-2013 09:15,12295.15,12301.25,12036.45,12055.5,16289000
22-02-2013 09:15,12024.4,12139.65,12024.4,12068.95,13753000
25-02-2013 09:15,12119.95,12137.85,11961.5,12037.3,13702000
26-02-2013 09:15,11995,11995,11808.8,11844.85,13359000
27-02-2013 09:15,11882.7,11971.35,11838.35,11930.5,18069000
28-02-2013 09:15,12007,12041.45,11401.2,11487.35,39741000
01-03-2013 09:15,11533.05,11592.55,11458.7,11540.05,24522000
04-03-2013 09:15,11515.4,11602.5,11453.1,11575.6,18066000
05-03-2013 09:15,11642.8,11814.05,11623.65,11792.05,19445000
06-03-2013 09:15,11871.55,11904.15,11822.35,11876.2,18383000
07-03-2013 09:15,11829.2,11989.85,11819.6,11970.25,13249000
08-03-2013 09:15,12008.8,12219.45,12008.8,12197.25,17635000
11-03-2013 09:15,12221.5,12241.3,12130.25,12165.4,15994000
12-03-2013 09:15,12150.7,12183.5,11970.9,12054.5,14229000
13-03-2013 09:15,11989.55,11989.55,11754.3,11777.5,13077000
14-03-2013 09:15,11772.45,12058.55,11555.45,12020.75,29589000
15-03-2013 09:15,11972.75,12034.95,11749.85,11816.55,24766000
18-03-2013 09:15,11679.35,11810.4,11625.6,11735.5,18870000
19-03-2013 09:15,11796.2,11814.75,11416.75,11508.05,29132000
20-03-2013 09:15,11491.8,11491.8,11231.75,11254.85,19888000
21-03-2013 09:15,11285.65,11512.1,11209.65,11238.35,27651000
22-03-2013 09:15,11275.45,11331.2,11173.35,11204.05,24271000
25-03-2013 09:15,11327.4,11372.8,11097.95,11125.65,21008000
26-03-2013 09:15,11067.35,11198.45,11048.4,11163.45,17354000
28-03-2013 09:15,11188.95,11413.25,11080.05,11361.85,26156000
01-04-2013 09:15,11414.95,11460.6,11330.85,11425.55,11679000
02-04-2013 09:15,11430.85,11548.05,11361.15,11523.4,14137000
03-04-2013 09:15,11512.75,11590.6,11283.4,11344.1,18106000
04-04-2013 09:15,11243.2,11254.25,11105.1,11126.25,17807000
05-04-2013 09:15,11120.15,11168.25,11021.4,11098.95,19215000
08-04-2013 09:15,11075.85,11133.85,11002.1,11012.65,14363000
09-04-2013 09:15,11085.8,11210.35,10897.15,10929.15,19809000
10-04-2013 09:15,11009.45,11143.6,10888.75,11122.25,21977000
11-04-2013 09:15,11220.5,11341.85,11154.05,11306.5,25146000
12-04-2013 09:15,11239.15,11442.9,11236.05,11410.1,18206000
15-04-2013 09:15,11357.95,11643.3,11334.75,11526.25,21164000
16-04-2013 09:15,11517.9,11906.25,11515.3,11871.6,22700000
17-04-2013 09:15,11924.7,12112.25,11913.95,11981.05,26761000
18-04-2013 09:15,11902.55,12313,11891.95,12288.25,24913000
22-04-2013 09:15,12317.4,12637.95,12317.4,12576.2,25782000
23-04-2013 09:15,12601.05,12605.7,12333,12543.4,22118000
25-04-2013 09:15,12632.25,12755.8,12611.5,12726.85,31049000
26-04-2013 09:15,12679.3,12679.9,12470,12533.15,19408000
29-04-2013 09:15,12560.35,12661.25,12508.4,12609.15,16868000
30-04-2013 09:15,12638,12658.6,12402.15,12561.55,17326000
02-05-2013 09:15,12554.7,12783.3,12552.85,12709.95,21532000
03-05-2013 09:15,12678.9,12678.9,12364.7,12393.6,25114000
06-05-2013 09:15,12358.35,12436,12188.3,12396.4,15277000
07-05-2013 09:15,12404.55,12649.45,12404.55,12631.5,16630000
08-05-2013 09:15,12662.1,12694.4,12514.7,12643.05,14576000
09-05-2013 09:15,12663.75,12718.9,12541.8,12596.3,27927000
10-05-2013 09:15,12580.4,12783.05,12580.4,12752.3,19212000
13-05-2013 09:15,12760.45,12865.35,12546.25,12568.85,19718000
14-05-2013 09:15,12567.55,12698.35,12516.1,12583.6,13921000
15-05-2013 09:15,12646.35,13099.35,12646.35,13077.9,27196000
16-05-2013 09:15,13022.25,13281.8,13022.25,13239.45,21489000
17-05-2013 09:15,13227.8,13355.1,13116.85,13317.1,18091000
20-05-2013 09:15,13332.7,13414.3,13150.3,13181.5,15519000
21-05-2013 09:15,13182.2,13268.25,13038,13066.5,15732000
22-05-2013 09:15,13105.1,13175.65,12932.2,13008.25,14204000
23-05-2013 09:15,12907.9,12944,12594.9,12636.5,23749000
24-05-2013 09:15,12756.35,12828.6,12582.5,12769.35,16871000
27-05-2013 09:15,12751.5,13014.75,12735.05,12961.55,16714000
28-05-2013 09:15,12951.4,13016.45,12872.9,12950,14080000
29-05-2013 09:15,12931.35,12931.35,12773.4,12853.2,12197000
30-05-2013 09:15,12738.15,12829.55,12721.45,12805.9,24654000
31-05-2013 09:15,12734.3,12760.45,12453.15,12475.65,20470000
03-06-2013 09:15,12453.4,12499.85,12323.6,12402.1,14658000
04-06-2013 09:15,12401.7,12520.55,12252.4,12275.1,12693000
05-06-2013 09:15,12252.05,12347.3,12196.75,12289.35,14840000
06-06-2013 09:15,12225.35,12475.05,12184.05,12398.4,15573000
07-06-2013 09:15,12347.55,12488.6,12209.25,12231.5,16645000
10-06-2013 09:15,12292.65,12363.8,12017.9,12087.05,13702000
11-06-2013 09:15,12007.75,12031.9,11795.45,11820.5,22478000
12-06-2013 09:15,11791.1,11899.05,11732.35,11814.85,20253000
13-06-2013 09:15,11693.9,11793.3,11656.9,11686.75,15788000
14-06-2013 09:15,11827.35,11947.35,11803.8,11922.85,19467000
17-06-2013 09:15,11928.3,11992.95,11735.25,11971.05,18765000
18-06-2013 09:15,11946.2,11950.95,11795.2,11820.95,15617000
19-06-2013 09:15,11798.65,11867.2,11738.7,11852.65,13691000
20-06-2013 09:15,11677.35,11677.35,11347.55,11375.4,23903000
21-06-2013 09:15,11323.35,11420.25,11210.75,11340.15,27181000
24-06-2013 09:15,11272.2,11275.4,11134.2,11178.3,19858000
25-06-2013 09:15,11213.1,11325.5,11107.8,11181.05,29636000
26-06-2013 09:15,11211,11261.65,11033.75,11066.55,20645000
27-06-2013 09:15,11225.5,11277.05,11164.75,11235.75,27443000
28-06-2013 09:15,11367.2,11654.7,11367.2,11617.25,25527000
01-07-2013 09:15,11597.45,11733.1,11597.45,11714.9,15760000
02-07-2013 09:15,11703.95,11752.9,11590.5,11614.25,16195000
03-07-2013 09:15,11500.3,11505.75,11322.8,11357.8,20685000
04-07-2013 09:15,11389.65,11454.3,11273.6,11381.2,24264000
05-07-2013 09:15,11485.85,11530.65,11418,11434.3,15515000
08-07-2013 09:15,11328.2,11328.2,11176.65,11283.3,17371000
09-07-2013 09:15,11365.2,11458.3,11353.05,11442.45,17127000
10-07-2013 09:15,11477.55,11540.9,11317.2,11364.45,16540000
11-07-2013 09:15,11541.95,11710.45,11541.95,11655.3,16771000
12-07-2013 09:15,11733.05,11743.25,11589.45,11722.8,16006000
15-07-2013 09:15,11678.9,11811.9,11621.75,11790.25,16069000
16-07-2013 09:15,11459.4,11459.4,11209.75,11226.15,34537000
17-07-2013 09:15,11264,11264,10829.75,10971.6,42534000
18-07-2013 09:15,11033.5,11236.85,10837.75,11187.7,39851000
19-07-2013 09:15,11223.8,11237.9,10934.25,10973.9,28778000
22-07-2013 09:15,10948.4,11132.2,10948.4,11086.95,17830000
23-07-2013 09:15,11218.8,11285.8,11195,11239.7,20127000
24-07-2013 09:15,11018.05,11018.05,10661.3,10720.15,53956000
25-07-2013 09:15,10667.05,10772.7,10594.6,10614,40830000
26-07-2013 09:15,10701.25,10723.3,10352.95,10465.25,52076000
29-07-2013 09:15,10451.85,10451.85,10310.65,10331,27018000
30-07-2013 09:15,10339.1,10449.7,10195.5,10209.55,35139000
31-07-2013 09:15,10164.65,10164.65,9863.0498,10015.75,60229000
01-08-2013 09:15,10130.1,10219.4,9867.5996,10142.95,53400000
02-08-2013 09:15,10162.15,10219.6,9958.4004,9997.7998,38761000
05-08-2013 09:15,10031.3,10117.65,9818.5,10094.9,32460000
06-08-2013 09:15,10013.6,10013.6,9660.2998,9703.0996,37590000
07-08-2013 09:15,9713.4502,9848.3496,9667.5498,9757.25,43423000
08-08-2013 09:15,9780.5498,9909.75,9724.7998,9816.4004,32948000
12-08-2013 09:15,9849.8496,9853.9502,9669.0996,9711.4004,45689000
13-08-2013 09:15,9666.5498,10007.6,9582.5498,9985.6504,41036000
14-08-2013 09:15,10010.15,10071.25,9912.3496,10026.4,37465000
16-08-2013 09:15,9887.9004,9891.4004,9420.1504,9450.8496,48449000
19-08-2013 09:15,9425.5,9425.5,9087,9145,45771000
